algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
xz,-1,8.790072345560903,42.6935898678715,227.0928610007996,True,False
xz,-3,9.081975782260319,22.180505167458314,254.8924967943444,True,False
xz,-5,10.285448526378833,6.107587426071329,300.00784294383277,True,False
xz,-7,10.524143413498935,5.05665498400975,312.432251971005,True,True
xz,-9,10.532688517013128,4.853433314822461,307.64148958927257,True,True
zlib,-1,6.052781782298765,186.7035961099981,677.6530727731616,True,False
zlib,-3,6.560992477235659,121.92216521563596,773.7427132631956,True,False
zlib,-5,6.962658011405231,80.22427514997386,664.9163223653238,True,False
zlib,-7,7.4397376148505,25.081317204686314,756.870143480918,True,False
zlib,-9,7.7708907186481255,4.191733973281612,807.646248498279,True,True
zstd,-1,6.557657650491529,593.9525808600074,1440.4830454112039,True,False
zstd,-11,7.784762149499963,41.57484124022971,1965.0005825625499,True,False
zstd,-13,7.86181403961044,22.82943315655684,1999.4733878462043,True,False
zstd,-15,8.244880616064284,11.191041912487796,2198.647675580925,True,False
zstd,-16,8.6779735463512,8.933022394526395,2397.950972341731,True,True
zstd,-19,8.95142411316618,3.758837630384782,2345.545009486528,True,True
zstd,-3,7.257905983874121,470.41588707968884,1392.1912137533009,True,False
zstd,-5,7.221100833535645,215.96846653247115,1431.8823835941987,False,False
zstd,-7,7.3533026389521225,115.51536842229832,1631.405144042075,True,False
zstd,-9,7.5192386560593,87.62119896677159,1775.8980401487986,True,False
openzl,,11.258674008102671,177.89080523447575,882.141320055154,True,True
openzl,,10.891675860549395,204.4561146988937,815.3916945347029,True,False
openzl,,10.730568386119806,202.49257149322324,935.3395454515222,False,True
openzl,,8.845364612192,213.49559895506772,1054.3079218068376,True,True
openzl,,8.48403938037946,214.4898873335714,1154.545683941862,True,True
openzl,,8.00693958175351,216.49459539335413,1117.6061800372643,True,False
openzl,,6.519354410335111,228.45717262329677,1070.1554584182413,True,False
openzl,,6.370392419086551,235.88165423838996,1100.2084554589253,True,False
openzl,,7.655228897319908,225.9664580289758,1128.357843118906,True,False
openzl,,4.930903063412351,236.74954060270954,1087.8835681124804,True,False
openzl,,4.870121781393437,236.91763956672068,1131.122188665773,True,False
openzl,,4.6656049354047235,237.44896314092588,1037.040038623156,True,False
openzl,,4.140830890694349,244.4580474403495,1209.3503365876782,True,True
openzl,,3.2314636662707783,254.86955858184015,1106.1906089467348,True,False
openzl,,2.9740712459351357,251.8693415730129,1209.6719859357513,False,True
openzl,,2.940660550334093,269.2882813224742,1260.9534548399731,True,True
openzl,,2.4891284229597335,267.3982831854327,1265.9169690366043,False,True
openzl,,1.4848712138648503,278.0119132675089,1144.3084085417906,True,False
openzl,,1.4848711711190563,285.15902229313866,1213.1574985800657,True,False
openzl,,1.4744336667367153,286.8856872749138,1225.6822639529578,True,False
openzl,,1.4472911611934662,289.8509742898957,1238.6430164399453,True,False
openzl,,1.3370061062002576,293.7671838315729,1253.6136634841887,True,False
openzl,,1.331838085016829,290.2040697294901,1266.9349975735797,False,True
openzl,,1.240297012180473,299.84161281207054,1244.5506876017232,True,False
openzl,,1.2402757469737549,295.1136152665621,1267.3190245808735,False,True
openzl,,1.196248407967576,295.47994857783715,1522.0214798510171,False,True
