algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
xz,-1,2.1503213781899677,13.773585661292927,66.83423685732544,True,False
xz,-3,2.1794218007555313,7.214353357805302,69.39699427689543,True,False
xz,-5,2.42996855483488,3.61646421774492,72.15440476263328,True,False
xz,-7,2.5559574615730543,3.2232966431852867,75.59760296487218,True,True
xz,-9,2.598911786329481,2.7982741424385145,73.85894446489357,True,True
zlib,-1,1.7949572867133132,61.41248101955582,290.12842411428306,True,False
zlib,-3,1.8032582044127596,46.36657482558719,305.95937340784894,True,False
zlib,-5,1.8332560064629864,35.81293280324306,301.0255419953099,True,False
zlib,-7,1.8433151796920373,18.489260285427143,305.31549458758997,True,False
zlib,-9,1.848231439412035,3.616917527156394,307.5067416929493,True,True
zstd,-1,1.652517574984512,489.2299539641473,1024.6899960779763,True,True
zstd,-11,1.951948978103872,33.45458151625561,904.1051511191581,True,False
zstd,-13,1.955057633235334,14.698749124555235,903.7414253586674,True,False
zstd,-15,1.9604233759991823,11.940188252634211,908.6962554229141,True,True
zstd,-16,1.9832612213562117,7.331009554172097,840.217001499789,True,True
zstd,-19,2.1303988208209135,3.8067220908384773,719.2220485873079,True,True
zstd,-3,1.8437714790035447,218.61874310819388,896.7686728743674,True,False
zstd,-5,1.8696558327102313,123.962168163912,911.9115906020935,True,False
zstd,-7,1.8862425608416449,92.17904452400366,932.8836536273682,True,True
zstd,-9,1.938611913969959,69.08627444302151,912.4234237229922,True,True
openzl,,3.049545919014659,80.12859753359422,819.2900378524297,True,False
openzl,,3.049545919014659,78.8668663579836,821.1767375986908,False,True
openzl,,3.047106098448043,80.99022328975987,769.7124184617592,True,False
openzl,,3.012008934254821,83.9259058235761,873.8734199641589,True,True
openzl,,2.9818629895368023,85.45457407345921,849.3525794882122,True,False
openzl,,2.9818621101914315,85.83810568591348,776.3429043431589,True,False
openzl,,2.7136412525753255,66.97902749442693,921.6097614646168,False,True
openzl,,2.6357007212343713,174.6492255211,619.5964359027107,True,False
openzl,,2.535007800695865,216.9186773003766,774.894626028733,True,False
openzl,,2.504384361867512,274.9388335579803,681.038538334271,True,False
openzl,,2.2475691215425933,224.21269399297879,924.9883952590452,False,True
openzl,,1.7118700894751395,320.39808002498705,757.8610580584372,True,False
openzl,,1.6722793853971014,332.06351562625224,873.6980431741616,True,False
openzl,,1.6410962455015752,351.3051785858311,940.381126309904,True,True
openzl,,1.6410928622321634,355.2358116481311,910.2762938433455,True,False
openzl,,1.5792126001661886,268.4791695971167,1163.106852181391,False,True
openzl,,1.4135855871545693,340.9899212488418,1231.0092400368942,False,True
openzl,,1.378806288663614,369.4550035646382,1182.664985101228,True,False
openzl,,1.378793714206627,384.5085614717473,1199.5110520668306,True,False
openzl,,1.376314142246427,385.3535961258044,1411.214631423117,True,False
openzl,,1.376314142246427,383.8820715809798,1411.668950013404,False,True
openzl,,1.345730426400699,396.0421903763622,1501.4629661874603,True,True
openzl,,1.3374483492454057,411.6152098186766,1557.614944673503,True,True
openzl,,1.2940579799984002,410.7473339536216,1605.0403723145828,False,True
openzl,,1.2940565979285943,528.0376072918083,1379.3457267169752,True,False
openzl,,1.0476030512669026,596.8650756005183,1324.9369584862113,True,False
openzl,,1.047602963403637,605.301895773202,1325.658038778673,True,False
openzl,,1.0476027062744595,609.7325462346196,1774.9207982820994,True,True
openzl,,1.047602675263914,612.7094118752032,1848.7768161077636,True,True
