Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
xz 5.8.1 -1,25.83,140.20,94581518,19948960,21.09,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
xz 5.8.1 -3,10.41,167.35,94581518,18746660,19.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
xz 5.8.1 -5,2.80,192.54,94581518,15411844,16.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
xz 5.8.1 -7,2.01,196.28,94581518,14585856,15.42,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
xz 5.8.1 -9,1.68,165.66,94581518,14348904,15.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
zlib 1.3.1 -1,112.00,381.94,94581518,27479924,29.05,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
zlib 1.3.1 -3,56.69,451.78,94581518,24273458,25.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
zlib 1.3.1 -5,33.42,419.03,94581518,21902474,23.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
zlib 1.3.1 -7,11.69,457.07,94581518,20408033,21.58,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
zlib 1.3.1 -9,5.08,471.70,94581518,19837908,20.97,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/26
zstd 1.5.7 -1,392.50,1211.97,44645369,9746407,21.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -3,291.44,1108.79,44645369,9716054,21.76,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -5,142.48,1108.63,44645369,9499585,21.28,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -7,76.58,1309.38,44645369,8736292,19.57,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -9,55.57,1361.35,44645369,8543000,19.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -11,26.46,1467.46,44645369,8107285,18.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -13,11.33,1474.17,44645369,7965820,17.84,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -15,4.94,1627.85,44645369,7553500,16.92,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -16,4.72,1630.80,44645369,7318278,16.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -19,1.83,1576.81,44645369,6885593,15.42,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
xz 5.8.1 -1,26.48,143.78,44645369,9141044,20.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
xz 5.8.1 -3,10.65,172.73,44645369,8581308,19.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
xz 5.8.1 -5,3.00,195.96,44645369,7098628,15.90,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
xz 5.8.1 -7,2.12,202.81,44645369,6727312,15.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
xz 5.8.1 -9,1.97,174.70,44645369,6696268,15.00,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zlib 1.3.1 -1,115.18,391.85,44645369,12706782,28.46,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zlib 1.3.1 -3,59.24,458.31,44645369,11198490,25.08,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zlib 1.3.1 -5,34.62,428.40,44645369,10124105,22.68,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zlib 1.3.1 -7,12.44,467.73,44645369,9395019,21.04,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zlib 1.3.1 -9,5.18,485.67,44645369,9097075,20.38,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/27
zstd 1.5.7 -1,385.42,1192.52,288077669,64202277,22.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//psam-p/samples/test/28
