Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -1,184.98,653.06,8305920,1449625,17.45,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/1
zlib 1.3.1 -3,114.88,775.34,8305920,1302509,15.68,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/1
zlib 1.3.1 -5,78.36,600.86,8305920,1219723,14.68,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/1
zlib 1.3.1 -7,34.32,625.30,8305920,1176175,14.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/1
zlib 1.3.1 -9,4.12,658.88,8305920,1147512,13.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/1
zstd 1.5.7 -1,515.32,1102.47,8305920,1310698,15.78,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -3,450.44,1084.59,8305920,1316062,15.84,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -5,202.35,1073.52,8305920,1271434,15.31,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -7,99.64,1304.39,8305920,1199750,14.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -9,75.40,1250.76,8305920,1169009,14.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -11,35.09,1544.86,8305920,1108361,13.34,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -13,21.77,1908.57,8305920,1047964,12.62,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -15,10.18,2453.27,8305920,969810,11.68,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -16,7.21,2309.82,8305920,957970,11.53,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -19,3.52,2332.34,8305920,922675,11.11,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
xz 5.8.1 -1,42.23,210.25,8305920,960428,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
xz 5.8.1 -3,19.22,247.79,8305920,922688,11.11,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
xz 5.8.1 -5,4.33,300.26,8305920,807540,9.72,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
xz 5.8.1 -7,3.41,316.37,8305920,781240,9.41,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
xz 5.8.1 -9,3.39,272.70,8305920,781240,9.41,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zlib 1.3.1 -1,186.19,659.61,8305920,1448942,17.44,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zlib 1.3.1 -3,113.61,777.12,8305920,1302346,15.68,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zlib 1.3.1 -5,78.41,605.84,8305920,1219999,14.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zlib 1.3.1 -7,34.28,623.64,8305920,1176555,14.17,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zlib 1.3.1 -9,4.13,662.72,8305920,1148006,13.82,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/2
zstd 1.5.7 -1,525.03,1113.36,8305920,1314702,15.83,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -3,456.64,1085.26,8305920,1307273,15.74,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -5,203.89,1083.93,8305920,1264419,15.22,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -7,99.47,1312.72,8305920,1194887,14.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -9,75.34,1276.57,8305920,1164919,14.03,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -11,35.37,1561.79,8305920,1103568,13.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -13,21.89,1947.50,8305920,1042294,12.55,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -15,10.12,2478.36,8305920,968223,11.66,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -16,7.17,2320.07,8305920,954109,11.49,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zstd 1.5.7 -19,3.61,2327.74,8305920,916891,11.04,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
xz 5.8.1 -1,42.66,213.68,8305920,957072,11.52,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
xz 5.8.1 -3,19.35,249.34,8305920,918676,11.06,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
xz 5.8.1 -5,4.45,302.95,8305920,805040,9.69,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
xz 5.8.1 -7,3.42,319.41,8305920,778236,9.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
xz 5.8.1 -9,3.41,274.88,8305920,778236,9.37,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zlib 1.3.1 -1,186.35,657.13,8305920,1444175,17.39,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
zlib 1.3.1 -3,112.47,776.47,8305920,1296899,15.61,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//era5-precip/samples/test/3
