Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zstd 1.5.7 -16,7.10,902.97,81958453,32916684,40.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zstd 1.5.7 -19,3.66,851.31,81958453,30395901,37.09,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
xz 5.8.1 -1,16.44,76.79,81958453,32231688,39.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
xz 5.8.1 -3,8.87,82.43,81958453,30955884,37.77,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
xz 5.8.1 -5,3.72,89.66,81958453,27434424,33.47,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
xz 5.8.1 -7,3.07,96.90,81958453,24382776,29.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
xz 5.8.1 -9,2.70,95.88,81958453,23751472,28.98,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zlib 1.3.1 -1,71.84,303.97,81958453,39866078,48.64,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zlib 1.3.1 -3,53.02,319.68,81958453,39356507,48.02,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zlib 1.3.1 -5,40.99,316.70,81958453,38183941,46.59,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zlib 1.3.1 -7,19.31,324.08,81958453,37943446,46.30,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zlib 1.3.1 -9,3.23,325.83,81958453,37815757,46.14,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/8
zstd 1.5.7 -1,445.67,975.19,55424395,21726830,39.20,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//binance/samples/test/9
