algorithm,config,compression_ratio,compress_speed_mbps,decompress_speed_mbps,in_algo_cspeed_frontier,in_algo_dspeed_frontier
xz,-1,4.816662750293443,26.33437017547996,142.50157228835556,True,False
xz,-3,5.136802508337637,10.49527270361949,170.03773814948426,True,False
xz,-5,6.227212618519183,2.870827459358301,196.02633369464266,True,False
xz,-7,6.587862276837706,2.072966014739841,199.9057026555937,True,True
xz,-9,6.729375768660761,1.6648106417972683,169.6530900317984,True,True
zlib,-1,3.478875745563291,113.22169366787077,385.32194286028965,True,False
zlib,-3,3.9364071053920098,58.053667474830405,454.65395799429604,True,False
zlib,-5,4.363503264434076,34.269602200155184,424.10593241599474,True,False
zlib,-7,4.695040238991085,11.990067788273135,462.9523246962934,True,False
zlib,-9,4.838342837483585,5.060646282037361,477.956506088527,True,True
zstd,-1,4.521349667512942,388.4304484997259,1198.9067544709737,True,False
zstd,-11,5.4465061926297915,25.71880340294602,1439.3114999133595,True,False
zstd,-13,5.549217033397613,10.638569586215159,1455.6719923678568,True,False
zstd,-15,5.869956402319308,4.566664297897397,1608.419961817839,True,True
zstd,-16,6.054741201966456,4.466715937408756,1599.2704198503698,True,True
zstd,-19,6.464455640490449,1.7730589956505598,1568.42384729089,True,True
zstd,-3,4.531410273200051,286.87180337348644,1091.4308838448273,True,False
zstd,-5,4.641138375181322,139.75755315191623,1072.514424979598,True,False
zstd,-7,5.047873950283055,75.26160206630723,1287.1271421547601,True,False
zstd,-9,5.164947257608266,54.748356953583325,1338.3422666393808,True,False
openzl,,8.642409907755832,30.899790283396246,70.19509635771878,True,True
openzl,,8.41322034141092,35.35344134155651,71.40788858664315,True,True
openzl,,8.400478276110773,36.0235686417263,74.36204574732425,True,True
openzl,,8.384761060930973,36.47837126223949,72.95516448277776,True,False
openzl,,7.56094150479239,40.63812741652398,77.58736665819626,True,True
openzl,,7.560845634297574,40.65021526935587,77.21259327640558,True,False
openzl,,7.531171547942405,41.11338849781823,77.43722397984789,True,False
openzl,,7.410944423093719,41.919150048184214,77.84735381289492,True,True
openzl,,7.39933571595158,42.549557973354545,78.5572745594463,True,True
openzl,,7.148212179543424,43.893564428716886,76.34214506095527,True,False
openzl,,5.057435264724894,45.25982051053751,76.36417522532055,True,False
openzl,,2.916268583101137,46.46322306058391,77.35400631420036,True,False
openzl,,2.8937282341368284,47.29803778683728,78.66625654193331,True,True
openzl,,2.3545389239740007,46.896147993659,79.4447200077988,False,True
openzl,,2.2730191958450767,47.74697331214476,79.17680484829106,True,False
openzl,,1.7830736402189853,47.920398050905554,75.9901643896555,True,False
openzl,,1.3323627694573952,49.200585921419275,78.1238054719694,True,False
openzl,,1.1168306402282553,49.36406572661502,77.57397470482152,True,False
openzl,,1.1168205342575475,50.16491820463357,78.19321737153966,True,False
