Compressor name,Compression speed,Decompression speed,Original size,Compressed size,Ratio,Filename
zlib 1.3.1 -3,120.50,770.15,483966011,72922527,15.07,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zlib 1.3.1 -5,78.82,665.95,483966011,68655517,14.19,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zlib 1.3.1 -7,25.13,756.84,483966011,64208566,13.27,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zlib 1.3.1 -9,4.19,815.28,483966011,61441738,12.70,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/1
zstd 1.5.7 -1,595.44,1443.61,488931436,74743926,15.29,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -3,469.97,1396.45,488931436,67501764,13.81,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -5,214.87,1438.78,488931436,67869618,13.88,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -7,115.57,1632.65,488931436,66651144,13.63,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -9,87.23,1777.08,488931436,65183554,13.33,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -11,41.61,1968.37,488931436,62949814,12.87,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -13,22.87,1997.79,488931436,62337767,12.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -15,11.26,2193.49,488931436,59459616,12.16,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -16,9.01,2398.63,488931436,56540340,11.56,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
zstd 1.5.7 -19,3.80,2324.43,488931436,55021389,11.25,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
xz 5.8.1 -1,42.66,226.62,488931436,55755608,11.40,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
xz 5.8.1 -3,22.10,254.79,488931436,53920404,11.03,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
xz 5.8.1 -5,6.10,298.92,488931436,47659164,9.75,/home/csv/2026-01-22-openzl-whitepaper-pareto-optimal//tlc/samples/test/2
